,0,1,2,3,4,5,6
194,odonnan01,Andy O'Donnell,1950,0,o,https://www.basketball-reference.com/players/o/odonnan01.html,
195,pankoan01,Andy Panko,2001,0,p,https://www.basketball-reference.com/players/p/pankoan01.html,
196,phillan01,Andy Phillip,1948-1958,0,p,https://www.basketball-reference.com/players/p/phillan01.html,
197,rautian01,Andy Rautins,2011,0,r,https://www.basketball-reference.com/players/r/rautian01.html,
198,tonkoan01,Andy Tonkovich,1949,0,t,https://www.basketball-reference.com/players/t/tonkoan01.html,
199,toolsan01,Andy Toolson,1991-1996,0,t,https://www.basketball-reference.com/players/t/toolsan01.html,
200,walkean01,Andy Walker,1977,0,w,https://www.basketball-reference.com/players/w/walkean01.html,
201,hardaan01,Anfernee Hardaway,1994-2008,0,h,https://www.basketball-reference.com/players/h/hardaan01.html,
202,simonan01,Anfernee Simons,-,0,s,https://www.basketball-reference.com/players/s/simonan01.html,
203,delgaan01,Angel Delgado,-,0,d,https://www.basketball-reference.com/players/d/delgaan01.html,
204,rodrian01,Angel Rodriguez,-,0,r,https://www.basketball-reference.com/players/r/rodrian01.html,
205,musian01,Angelo Musi,1947-1949,0,m,https://www.basketball-reference.com/players/m/musian01.html,
206,sharpan01,Angelo Sharpless,-,0,s,https://www.basketball-reference.com/players/s/sharpan01.html,
207,truitan01,Ansley Truitt,1973,0,t,https://www.basketball-reference.com/players/t/truitan01.html,
208,sesayan01,Ansu Sesay,2002-2005,0,s,https://www.basketball-reference.com/players/s/sesayan01.html,
209,jamisan01,Antawn Jamison,1999-2014,0,j,https://www.basketball-reference.com/players/j/jamisan01.html,
210,tomican01,Ante Tomic,-,0,t,https://www.basketball-reference.com/players/t/tomican01.html,
211,zizican01,Ante Zizic,2018-2019,1,z,https://www.basketball-reference.com/players/z/zizican01.html,
212,aventan01,Anthony Avent,1993-2000,0,a,https://www.basketball-reference.com/players/a/aventan01.html,
213,bennean01,Anthony Bennett,2014-2017,1,b,https://www.basketball-reference.com/players/b/bennean01.html,
214,bonnean01,Anthony Bonner,1991-1996,0,b,https://www.basketball-reference.com/players/b/bonnean01.html,
215,bowiean01,Anthony Bowie,1989-1998,0,b,https://www.basketball-reference.com/players/b/bowiean01.html,
216,brownan02,Anthony Brown,2016-2018,1,b,https://www.basketball-reference.com/players/b/brownan02.html,
217,cartean01,Anthony Carter,2000-2012,0,c,https://www.basketball-reference.com/players/c/cartean01.html,
218,cookan01,Anthony Cook,1991-1996,0,c,https://www.basketball-reference.com/players/c/cookan01.html,
219,davisan02,Anthony Davis,2013-2019,1,d,https://www.basketball-reference.com/players/d/davisan02.html,
220,fredean01,Anthony Frederick,1989-1992,0,f,https://www.basketball-reference.com/players/f/fredean01.html,
221,goldwan01,Anthony Goldwire,1996-2006,0,g,https://www.basketball-reference.com/players/g/goldwan01.html,
222,grundan01,Anthony Grundy,2006,0,g,https://www.basketball-reference.com/players/g/grundan01.html,
223,johnsan02,Anthony Johnson,1998-2010,0,j,https://www.basketball-reference.com/players/j/johnsan02.html,
224,jonesan01,Anthony Jones,1987-1990,0,j,https://www.basketball-reference.com/players/j/jonesan01.html,
225,marshan01,Anthony Marshall,-,0,m,https://www.basketball-reference.com/players/m/marshan01.html,
226,masonan01,Anthony Mason,1990-2003,0,m,https://www.basketball-reference.com/players/m/masonan01.html,
227,millean01,Anthony Miller,1995-2005,0,m,https://www.basketball-reference.com/players/m/millean01.html,
228,morroan01,Anthony Morrow,2009-2017,1,m,https://www.basketball-reference.com/players/m/morroan01.html,
229,parkean01,Anthony Parker,1998-2012,0,p,https://www.basketball-reference.com/players/p/parkean01.html,
230,peelean01,Anthony Peeler,1993-2005,0,p,https://www.basketball-reference.com/players/p/peelean01.html,
231,pullaan01,Anthony Pullard,1993,0,p,https://www.basketball-reference.com/players/p/pullaan01.html,
232,randoan01,Anthony Randolph,2009-2014,0,r,https://www.basketball-reference.com/players/r/randoan01.html,
233,roberan02,Anthony Roberson,2006-2009,0,r,https://www.basketball-reference.com/players/r/roberan02.html,
234,roberan01,Anthony Roberts,1978-1984,0,r,https://www.basketball-reference.com/players/r/roberan01.html,
235,tayloan01,Anthony Taylor,1989,0,t,https://www.basketball-reference.com/players/t/tayloan01.html,
236,tollian01,Anthony Tolliver,2009-2019,1,t,https://www.basketball-reference.com/players/t/tollian01.html,
237,tuckean01,Anthony Tucker,1995,0,t,https://www.basketball-reference.com/players/t/tuckean01.html,
238,carran01,Antoine Carr,1985-2000,0,c,https://www.basketball-reference.com/players/c/carran01.html,
239,rigauan01,Antoine Rigaudeau,2003,0,r,https://www.basketball-reference.com/players/r/rigauan01.html,
240,walkean02,Antoine Walker,1997-2008,0,w,https://www.basketball-reference.com/players/w/walkean02.html,
241,wrighan01,Antoine Wright,2006-2011,0,w,https://www.basketball-reference.com/players/w/wrighan01.html,
242,anderan02,Antonio Anderson,2010,0,a,https://www.basketball-reference.com/players/a/anderan02.html,
243,blakean01,Antonio Blakeney,2018-2019,1,b,https://www.basketball-reference.com/players/b/blakean01.html,
244,burksan01,Antonio Burks,2005-2006,0,b,https://www.basketball-reference.com/players/b/burksan01.html,
245,daniean01,Antonio Daniels,1998-2011,0,d,https://www.basketball-reference.com/players/d/daniean01.html,
246,davisan01,Antonio Davis,1994-2006,0,d,https://www.basketball-reference.com/players/d/davisan01.html,
247,harvean01,Antonio Harvey,1994-2003,0,h,https://www.basketball-reference.com/players/h/harvean01.html,
248,langan02,Antonio Lang,1995-2000,0,l,https://www.basketball-reference.com/players/l/langan02.html,
249,mcdyean01,Antonio McDyess,1996-2011,0,m,https://www.basketball-reference.com/players/m/mcdyean01.html,
250,fotsian01,Antonis Fotsis,2002,0,f,https://www.basketball-reference.com/players/f/fotsian01.html,
251,clevean01,Antonius Cleveland,2018,1,c,https://www.basketball-reference.com/players/c/clevean01.html,
252,pasecan01,Anzejs Pasecniks,-,0,p,https://www.basketball-reference.com/players/p/pasecan01.html,
253,clarkar01,Archie Clark,1967-1976,0,c,https://www.basketball-reference.com/players/c/clarkar01.html,
254,deesar01,Archie Dees,1959-1962,0,d,https://www.basketball-reference.com/players/d/deesar01.html,
255,goodwar01,Archie Goodwin,2014-2017,1,g,https://www.basketball-reference.com/players/g/goodwar01.html,
